locus_tag,ob,origin?,gene_name,function,logFC,cutoff,logCPM,PValue,q.value,sig
BW25113_1038,898,no,csgF,curli nucleation outer membrane protein,-0.031734315,no,5.88939278,0.952387296,0.989860028,no
BW25113_1039,899,no,csgE,curlin secretion specificity factor,1.033613626,yes,5.098880883,0.016437607,0.077067532,no
BW25113_1040,900,no,csgD,csgBAC operon transcriptional regulator,0.092669764,no,3.245156449,0.910230025,0.970120092,no
BW25113_1041,901,no,csgB,"curlin nucleator protein, minor subunit in curli complex",-0.191668305,no,5.518000556,0.632866326,0.8446346,no
BW25113_1042,902,no,csgA,"curlin subunit, amyloid curli fibers, cryptic",-0.136530093,no,8.351197974,0.377613841,0.670097899,no
BW25113_1043,903,no,csgC,curli assembly protein,-0.211978151,no,7.577122203,0.241413029,0.526833826,no
BW25113_1044,904,no,ymdA,uncharacterized protein,0.061110815,no,7.883924976,0.735091675,0.897108633,no
BW25113_1045,905,no,ymdB,O-acetyl-ADP-ribose deacetylase; RNase III inhibitor during cold shock; putative cardiolipin synthase C regulatory subunit,0.130992221,no,7.248831052,0.542089424,0.786332677,no
BW25113_1046,906,no,clsC,stationary phase cardiolipin synthase 3,-0.212289052,no,8.16678337,0.238077509,0.523817149,no
BW25113_1047,907,no,opgC,osmoregulated periplasmic glucan succinylation membrane protein,0.124310917,no,9.164085347,0.340917723,0.636076856,no
BW25113_1048,908,no,opgG,osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein,0.148482216,no,6.746948236,0.555812699,0.793022463,no
BW25113_1049,909,no,opgH,"membrane glycosyltransferase; nutrient-dependent cell size regulator, FtsZ assembly antagonist",0.304745937,no,7.661381936,0.122207931,0.350699186,no
BW25113_1050,910,no,yceK,outer membrane integrity lipoprotein,0.212904359,no,4.508633349,0.670226847,0.865366099,no
BW25113_1051,911,no,msyB,multicopy suppressor of secY and secA,0.540422135,no,4.597683142,0.321774559,0.617706302,no
BW25113_1053,912,no,mdtG,putative drug efflux system protein,0.489395376,no,7.106389125,0.019657278,0.089082694,no
BW25113_1055,913,no,yceA,putative rhodanese-related sulfurtransferase,0.193406553,no,7.416322553,0.311699931,0.61001684,no
BW25113_1056,914,no,yceI,secreted protein,-0.165446863,no,7.6786276,0.355930759,0.65152154,no
BW25113_1057,915,no,yceJ,putative cytochrome b561,0.358829271,no,7.713801616,0.082176232,0.269721717,no
BW25113_1059,916,no,solA,"N-methyltryptophan oxidase, FAD-binding",-0.156019592,no,8.494475944,0.317088423,0.613955028,no
BW25113_1060,917,no,bssS,biofilm regulator,0.165048917,no,6.746268851,0.547603647,0.788324016,no
BW25113_1061,918,no,dinI,DNA damage-inducible protein I,-0.637486488,no,5.533982231,0.105408491,0.317115338,no
BW25113_1062,919,no,pyrC,dihydro-orotase,-0.161981658,no,6.279764256,0.620326568,0.835925108,no
BW25113_1063,920,no,yceB,"lipoprotein, DUF1439 family",-0.245781101,no,5.570521575,0.526129865,0.773604303,no
BW25113_1064,921,no,grxB,glutaredoxin 2 (Grx2),0.261899168,no,6.466288886,0.386216107,0.675878188,no
BW25113_1065,922,no,mdtH,multidrug resistance efflux transporter conferring overexpression resistance to norfloxacin and enoxacin,0.338542717,no,7.816485,0.086503816,0.27920152,no
BW25113_1066,923,no,rimJ,ribosomal-protein-S5-alanine N-acetyltransferase,0.057181989,no,7.373261969,0.765128712,0.910406144,no
BW25113_1067,924,no,yceH,UPF0502 family protein,0.278287305,no,5.927103911,0.475119843,0.739368712,no
BW25113_1068,925,no,yceM,putative oxidoreductase,0.208977704,no,6.469500159,0.565518299,0.799369007,no
BW25113_1070,926,no,flgN,export chaperone for FlgK and FlgL,-0.262388236,no,5.996103682,0.471742414,0.737824688,no
BW25113_1071,927,no,flgM,anti-sigma factor for FliA (sigma 28),-0.509997626,no,4.127053102,0.342920706,0.63859818,no
BW25113_1072,928,no,flgA,assembly protein for flagellar basal-body periplasmic P ring,0.075051965,no,6.839983887,0.765081633,0.910406144,no
BW25113_1073,929,no,flgB,flagellar component of cell-proximal portion of basal-body rod,0.144344556,no,5.870699335,0.708470069,0.887082655,no
BW25113_1074,930,no,flgC,flagellar component of cell-proximal portion of basal-body rod,0.230909726,no,6.158443199,0.474440099,0.739191251,no
BW25113_1075,931,no,flgD,flagellar hook assembly protein,0.067705717,no,6.42275563,0.830962716,0.939956896,no
BW25113_1076,932,no,flgE,flagellar hook protein,0.122024075,no,7.470873667,0.60092537,0.822782902,no
BW25113_1077,933,no,flgF,flagellar component of cell-proximal portion of basal-body rod,0.161709884,no,6.140964088,0.593055355,0.815997539,no
BW25113_1078,934,no,flgG,flagellar component of cell-distal portion of basal-body rod,-0.267641329,no,6.839850588,0.263562208,0.553868672,no
BW25113_1079,935,no,flgH,flagellar protein of basal-body outer-membrane L ring,0.114146288,no,6.236581814,0.699429623,0.88163462,no
BW25113_1080,936,no,flgI,putative flagellar basal body protein,-0.03370986,no,6.803116417,0.896857277,0.966111714,no
BW25113_1081,937,no,flgJ,flagellar rod assembly protein and murein hydrolase; flagellum-specific muramidase,0.595167317,no,6.482424783,0.026202303,0.111887831,no
BW25113_1082,938,no,flgK,flagellar hook-filament junction protein 1,-0.151292633,no,6.934452758,0.503601241,0.75871971,no
BW25113_1083,939,no,flgL,flagellar hook-filament junction protein,0.034896555,no,6.506968029,0.897863804,0.966399262,no
BW25113_1084,940,no,rne,fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein,-0.10676312,no,5.597606287,0.780002329,0.916000338,no
BW25113_1085,941,no,yceQ,uncharacterized protein,-0.365074306,no,6.246787441,0.274751151,0.565309586,no
BW25113_1086,942,no,rluC,"23S rRNA pseudouridine(955,2504,2580) synthase",0.619465968,no,7.344443407,0.002494859,0.015257174,yes
BW25113_1087,943,no,yceF,Maf-like protein,-0.090609154,no,7.149875339,0.674995167,0.866398511,no
BW25113_4418,944,no,psrD,,0.52760488,no,2.8635267,0.491219978,0.749496311,no
BW25113_1088,945,no,yceD,DUF177 family protein,0.360725281,no,5.219565518,0.376535685,0.670097899,no
BW25113_1090,946,no,plsX,putative phosphate acyltransferase,0.122663035,no,6.893241855,0.588293044,0.812582359,no
BW25113_1095,947,no,fabF,3-oxoacyl-[acyl-carrier-protein] synthase II,0.30922729,no,7.160367818,0.132187422,0.370389344,no
BW25113_1096,948,no,pabC,4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex,-0.253440792,no,6.535636745,0.335767335,0.629764571,no
BW25113_1097,949,no,yceG,"septation protein, ampicillin sensitivity",0.131361434,no,7.079043359,0.572760675,0.802362576,no
BW25113_1100,950,no,ycfH,putative DNase,-0.554846264,no,6.436057928,0.036489151,0.145511162,no
BW25113_1101,951,no,ptsG,fused glucose-specific PTS enzymes: IIB component/IIC component,0.515160017,no,6.887290474,0.045351863,0.172100004,no
BW25113_1102,952,no,fhuE,ferric-rhodotorulic acid outer membrane transporter,-0.092877668,no,7.595444822,0.620759691,0.835925108,no
BW25113_1103,953,no,hinT,"purine nucleoside phosphoramidase, dadA activator protein",0.20941536,no,5.2236779,0.661279622,0.857781641,no
BW25113_1104,954,no,ycfL,uncharacterized protein,-0.126545917,no,4.638771911,0.803612316,0.926245304,no
BW25113_1105,955,no,lpoB,OM lipoprotein stimulator of MrcB transpeptidase,0.349406764,no,6.310615328,0.208511344,0.48768763,no
BW25113_1106,956,no,thiK,thiamine kinase,-0.044877062,no,6.638949845,0.888322361,0.963631847,no
BW25113_1107,957,no,nagZ,beta N-acetyl-glucosaminidase,-0.189053762,no,6.294202441,0.571883378,0.802356063,no
BW25113_1108,958,no,ycfP,putative UPF0227 family esterase,-0.082005751,no,5.799127196,0.836874618,0.941597677,no
BW25113_1109,959,no,ndh,respiratory NADH dehydrogenase 2/cupric reductase,0.764624015,no,5.837192249,0.025591543,0.110119483,no
BW25113_1110,960,no,ycfJ,uncharacterized protein,0.04901728,no,6.276383269,0.885948295,0.963631847,no
BW25113_1111,961,no,ycfQ,repressor for bhsA(ycfR),0.117068015,no,5.61741776,0.773143932,0.91280726,no
BW25113_1112,962,no,bhsA,"biofilm, cell surface and signaling protein",-0.178185857,no,4.200761368,0.762381847,0.909752463,no
BW25113_1113,963,no,ldtC,"L,D-transpeptidase linking Lpp to murein",-0.475465894,no,6.329697641,0.082133809,0.269721717,no
BW25113_1114,964,no,mfd,transcription-repair coupling factor,-0.215486781,no,8.164030258,0.190183183,0.461779377,no
BW25113_1115,965,no,ycfT,inner membrane protein,-0.404377078,no,6.647317087,0.148225186,0.397231022,no
BW25113_1119,966,no,nagK,N-acetyl-D-glucosamine kinase,-0.489801169,no,5.487259552,0.259045208,0.548895792,no
BW25113_1120,967,no,cobB,"deacetylase of acs and cheY, chemotaxis regulator",-0.095130558,no,6.01387329,0.784334338,0.918885417,no
BW25113_1122,968,no,ymfA,DUF3592 family inner membrane protein,0.00279847,no,7.79233205,0.997114465,1,no
BW25113_1123,969,no,potD,polyamine transporter subunit,0.233984936,no,6.518130906,0.43408568,0.71137787,no
BW25113_1124,970,no,potC,polyamine transporter subunit,-0.0102779,no,5.678373143,0.977560443,0.999487985,no
BW25113_1125,971,no,potB,polyamine transporter subunit,-0.043292688,no,6.322273275,0.887158643,0.963631847,no
BW25113_1126,972,no,potA,polyamine transporter subunit,-0.09197816,no,6.307272204,0.783705812,0.918423553,no
BW25113_1127,973,no,pepT,peptidase T,-0.138425995,no,6.761604765,0.583213165,0.808724871,no
BW25113_1128,974,no,roxA,50S ribosomal protein L16 arginine hydroxylase; 2-oxoglutarate oxygenase,-0.201354968,no,6.254853544,0.522177967,0.770684348,no
BW25113_1129,975,no,phoQ,sensory histidine kinase in two-component regulatory system with PhoP,0.006765584,no,7.223251153,0.976503361,0.998827172,no
BW25113_1130,976,no,phoP,response regulator in two-component regulatory system with PhoQ,-0.353248568,no,6.63806253,0.182412525,0.451995637,no
BW25113_1132,977,no,hflD,putative lysogenization regulator,-0.043627538,no,5.044860272,0.933264368,0.983608283,no
BW25113_1133,978,no,mnmA,"tRNA(Gln,Lys,Glu) U34 2-thiouridylase, first step in mnm(5)-s(2)U34-tRNA synthesis",1.517084562,yes,5.114789244,0.003029926,0.018272784,yes
BW25113_1134,979,no,nudJ,bifunctional thiamine pyrimidine pyrophosphate hydrolase/ thiamine pyrophosphate hydrolase,0.086475712,no,5.456315047,0.828475712,0.938348683,no
BW25113_1135,980,no,rluE,23S rRNA pseudouridine(2457) synthase,-0.087812067,no,6.262927287,0.821482073,0.934748832,no
BW25113_1139,981,no,lit,"e14 prophage; cell death peptidase, inhibitor of T4 late gene expression",0.632042976,no,5.522699772,0.092229521,0.291094784,no
BW25113_1140,982,no,intE,e14 prophage; putative integrase,0.06572872,no,8.156806371,0.67213352,0.865657898,no
BW25113_1141,983,no,xisE,e14 prophage; putative excisionase,0.046620782,no,5.969848065,0.899490935,0.966433979,no
BW25113_1143,984,no,ymfI,e14 prophage; uncharacterized protein,-0.542320844,no,5.018573149,0.248353079,0.536979631,no
BW25113_1144,985,no,ymfJ,e14 prophage; uncharacterized protein,-0.628109754,no,5.671753553,0.103648847,0.313264057,no
BW25113_1147,986,no,ymfL,e14 prophage; putative DNA-binding transcriptional regulator,-0.058612188,no,5.59935889,0.889371459,0.963631847,no
BW25113_1148,987,no,ymfM,e14 prophage; uncharacterized protein,0.269708251,no,6.169060691,0.459449128,0.728333208,no
BW25113_4692,988,no,oweE,pseudogene,0.248916847,no,5.928696021,0.472896324,0.738253122,no
BW25113_4693,989,no,aaaE,pseudogene,0.174494187,no,7.776173861,0.323981906,0.619164254,no
BW25113_1150,990,no,ymfR,e14 prophage; uncharacterized protein,0.709368087,no,4.637428755,0.141246274,0.386651811,no
BW25113_1151,991,no,beeE,pseudogene,-0.622219781,no,5.08125359,0.189290371,0.460880904,no
BW25113_1152,992,no,jayE,pseudogene,0.194097802,no,7.268092407,0.36201731,0.655927778,no
BW25113_1153,993,no,ymfQ,prohage e14 tail protein homolog,0.638598096,no,6.676258099,0.009456053,0.049292193,yes
BW25113_1154,994,no,stfP,e14 prophage; uncharacterized protein,0.254846227,no,8.303213393,0.120750882,0.347414953,no
BW25113_1155,995,no,tfaP,e14 prophage; uncharacterized protein,0.126474133,no,6.896848142,0.576904223,0.804219258,no
BW25113_1156,996,no,tfaE,e14 prophage; putative tail fiber assembly protein,0.009072327,no,6.865053856,0.974274989,0.998276058,no
BW25113_1157,997,no,stfE,pseudogene,0.216446914,no,7.724480831,0.226724204,0.509901825,no
BW25113_1158,998,no,pinE,e14 prophage; site-specific DNA recombinase,-0.02254402,no,7.37396186,0.930712935,0.982978541,no
BW25113_1159,999,no,mcrA,putative 5-methylcytosine/5-hydroxymethylcytosine-specific restriction nuclease; 5-methylcytosine DNA binding protein; e14 prophage gene,0.07722865,no,6.348904934,0.811404142,0.930191714,no
BW25113_4519,1000,no,icdC,pseudogene,-0.025219218,no,5.578118079,0.975371907,0.998827172,no
BW25113_1161,1001,no,ycgX,DUF1398 family protein,0.250757517,no,4.689417642,0.692768349,0.877715555,no
BW25113_1162,1002,no,bluR,repressor of blue light-responsive genes,0.256665728,no,7.734563126,0.142090899,0.387880449,no
BW25113_1163,1003,no,bluF,"anti-repressor for YcgE, blue light-responsive; FAD-binding; has c-di-GMP phosphodiesterase-like EAL domain, but does not degrade c-di-GMP",-0.045793984,no,6.732918531,0.878627527,0.963631847,no
BW25113_1164,1004,no,ycgZ,RcsB connector protein for regulation of biofilm and acid-resistance,0.09454744,no,5.181574661,0.847681697,0.946254616,no
BW25113_1165,1005,no,ymgA,RcsB connector protein for regulation of biofilm,-0.822563885,no,2.572796725,0.262833085,0.553630142,no
BW25113_1168,1006,no,ycgG,putative membrane-anchored cyclic-di-GMP phosphodiesterase,0.145143878,no,6.543705024,0.59061174,0.813743419,no
BW25113_4520,1007,no,ymgF,inner membrane division septum protein,0.105261254,no,4.376116035,0.845616308,0.945739209,no
BW25113_4491,1008,no,ycgH,pseudogene,-0.058959374,no,7.66263767,0.743801057,0.900463293,no
BW25113_1171,1009,no,ymgD,uncharacterized protein,-0.034301753,no,6.81783391,0.889453307,0.963631847,no
BW25113_1172,1010,no,ymgG,UPF0757 family protein,-0.073705629,no,6.09760957,0.836574393,0.941597677,no
BW25113_4593,1011,no,ymgI,uncharacterized protein,-0.1464006,no,2.535767316,0.883636645,0.963631847,no
BW25113_4594,1012,no,ymgJ,uncharacterized protein,-0.389764564,no,2.503575777,0.658355855,0.857684913,no
BW25113_4521,1013,no,ycgI,pseudogene,0.194629064,no,6.915388909,0.406292293,0.689900352,no
BW25113_1175,1014,no,minD,membrane ATPase of the MinC-MinD-MinE system,0.120840236,no,6.686337446,0.660986256,0.857684913,no
BW25113_1176,1015,no,minC,cell division inhibitor,0.301843942,no,5.570119267,0.486393937,0.747444437,no
BW25113_1177,1016,no,ycgJ,uncharacterized protein,0.072345224,no,6.844967889,0.801114908,0.925323738,no
BW25113_1178,1017,no,pliG,periplasmic inhibitor of g-type lysozyme,-0.262323762,no,7.110081454,0.22403329,0.506465107,no
BW25113_1179,1018,no,ycgL,UPF0745 family protein,0.136170495,no,2.850189401,0.946002643,0.988342393,no
BW25113_1180,1019,no,ycgM,putative isomerase/hydrolase,0.325511537,no,5.979135264,0.37811126,0.67037365,no
BW25113_1181,1020,no,ycgN,UPF0153 family cysteine cluster protein,-0.330547807,no,7.212307735,0.151828334,0.404903012,no
BW25113_1183,1021,no,umuD,"DNA polymerase V, subunit D",-0.170843222,no,4.919357952,0.734158559,0.897108633,no
BW25113_1184,1022,no,umuC,"DNA polymerase V, subunit C",-0.401090321,no,6.168324308,0.222031038,0.503681522,no
BW25113_1185,1023,no,dsbB,oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I,0.079692285,no,4.540490083,0.880253589,0.963631847,no
BW25113_1186,1024,no,nhaB,sodium:proton antiporter,-0.408491511,no,7.588898759,0.027566836,0.116195696,no
BW25113_1187,1025,no,fadR,fatty acid metabolism regulon transcriptional regulator,-0.150571164,no,6.455468862,0.590344491,0.813695641,no
BW25113_1188,1026,no,ycgB,SpoVR family stationary phase protein,-0.087571118,no,7.193807442,0.690123302,0.876063259,no
BW25113_1189,1027,no,dadA,D-amino acid dehydrogenase,-0.125572595,no,7.446019402,0.516665151,0.767040041,no
BW25113_1190,1028,no,dadX,"alanine racemase, catabolic, PLP-binding",0.01264765,no,6.968257454,0.965266787,0.994440422,no
BW25113_1191,1029,no,cvrA,putative cation/proton antiporter,-0.21750391,no,8.062424209,0.16749258,0.430208767,no
BW25113_1192,1030,no,ldcA,murein tetrapeptide carboxypeptidase; LD-carboxypeptidase A,1.002426192,yes,3.357185728,0.115801358,0.339015178,no
BW25113_1193,1031,no,emtA,lytic murein endotransglycosylase E,0.10809619,no,6.242333811,0.7388949,0.898676782,no
BW25113_1194,1032,no,ycgR,"flagellar velocity braking protein, c-di-GMP-regulated",0.197170754,no,5.739472004,0.572738291,0.802362576,no
BW25113_1195,1033,no,ymgE,UPF0410 family putative inner membrane protein,-0.524380707,no,5.613830875,0.190248391,0.461779377,no
BW25113_1196,1034,no,ycgY,uncharacterized protein,0.637218849,no,3.278715802,0.285870468,0.578529806,no
BW25113_1197,1035,no,treA,periplasmic trehalase,-0.003959452,no,7.97634023,0.988594428,1,no
BW25113_1198,1036,no,dhaM,putative dihydroxyacetone-specific PTS enzymes: HPr component/EI component,0.095526277,no,7.416406757,0.673714844,0.865754142,no
BW25113_1199,1037,no,dhaL,"dihydroxyacetone kinase, C-terminal domain",-0.458899373,no,5.059624408,0.326970958,0.621558541,no
BW25113_1200,1038,no,dhaK,"dihydroxyacetone kinase, PTS-dependent, dihydroxyacetone-binding subunit",-0.086521113,no,6.91246368,0.742087921,0.89950051,no
BW25113_1201,1039,no,dhaR,dhaKLM operon transcription activator,0.107948575,no,7.559944082,0.565531917,0.799369007,no
BW25113_1202,1040,no,ycgV,putative adhesin,-0.185173938,no,8.848982437,0.174487533,0.439018696,no
BW25113_1203,1041,no,ychF,"catalase inhibitor protein; ATPase, K+-dependent, ribosome-associated",0.240859523,no,5.503344381,0.590894347,0.813743419,no
BW25113_1204,1042,no,pth,peptidyl-tRNA hydrolase,-0.875626173,no,2.069765534,0.288369072,0.581784231,no
BW25113_1205,1043,no,ychH,DUF2583 family putative inner membrane protein,0.093795582,no,5.984610067,0.786361268,0.919535013,no
BW25113_1206,1044,no,dauA,C4-dicarboxylic acid transporter,-0.407877083,no,7.663001717,0.026170433,0.111887831,no
BW25113_1211,1045,no,prfA,peptide chain release factor RF-1,0.483521674,no,3.666397723,0.44000535,0.716447448,no
BW25113_1213,1046,no,ychQ,SIRB family inner membrane protein,-0.183975098,no,5.053162345,0.676796587,0.867412042,no
BW25113_1214,1047,no,ychA,transglutaminase-like TPR-repeat protein,0.274268613,no,4.929860493,0.582700082,0.808560822,no
BW25113_4422,1048,no,rdlB,,-1.909161863,yes,3.173933974,0.006463206,0.035529351,yes
BW25113_1216,1049,no,chaA,calcium/sodium:proton antiporter,-0.250346919,no,8.274753129,0.136571152,0.378781596,no
BW25113_1217,1050,no,chaB,cation transport regulator,0.177483111,no,5.021712343,0.710301521,0.888169462,no
BW25113_1218,1051,no,chaC,cation transport regulator,-0.080636062,no,6.502232672,0.769867296,0.91067998,no
BW25113_1219,1052,no,ychN,putative sulfur relay protein,-0.453086578,no,5.181683644,0.485376251,0.747025876,no
BW25113_1220,1053,no,ychO,putative invasin,-0.121500591,no,6.868201585,0.607677301,0.826657393,no
BW25113_1221,1054,no,narL,response regulator in two-component regulatory system with NarX (or NarQ),-0.101929105,no,5.834404877,0.774404077,0.912991458,no
BW25113_1222,1055,no,narX,sensory histidine kinase in two-component regulatory system with NarL,0.38976546,no,7.649899849,0.038616605,0.151430836,no
BW25113_1223,1056,no,narK,nitrate/nitrite transporter,0.053470631,no,7.046155365,0.810302546,0.930127666,no
BW25113_1224,1057,no,narG,"nitrate reductase 1, alpha subunit",0.281078097,no,8.666294126,0.042029967,0.162162866,no
BW25113_1225,1058,no,narH,"nitrate reductase 1, beta (Fe-S) subunit",0.179810012,no,6.603766732,0.557470807,0.794649296,no
BW25113_1226,1059,no,narJ,molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1,-0.09634162,no,5.949161443,0.777491083,0.91463527,no
BW25113_1227,1060,no,narI,"nitrate reductase 1, gamma (cytochrome b(NR)) subunit",-0.400457228,no,5.967087924,0.229634492,0.511749408,no
BW25113_4425,1061,no,rttR,,-1.928140694,yes,2.654074233,0.021476728,0.095886986,no
BW25113_1232,1062,no,purU,formyltetrahydrofolate hydrolase,-0.196894483,no,6.490173172,0.67129341,0.865615187,no
BW25113_1233,1063,no,ychJ,UPF0225 family protein,0.127381372,no,7.31881787,0.551104988,0.790435225,no
BW25113_1234,1064,no,rssA,putative patatin-like family phospholipase,0.323734399,no,7.086971199,0.145589009,0.393050217,no
BW25113_1235,1065,no,rssB,PcnB-degradosome interaction factor; response regulator,0.578107068,no,6.791978748,0.016717991,0.078054342,no
BW25113_1236,1066,no,galU,glucose-1-phosphate uridylyltransferase,1.978038439,yes,6.660833749,6.51E-09,6.35E-08,yes
BW25113_1237,1067,no,hns,global DNA-binding transcriptional dual regulator H-NS,0.502540929,no,4.620106689,0.265231955,0.554807504,no
BW25113_1238,1068,no,tdk,thymidine kinase/deoxyuridine kinase,0.121980041,no,8.110036428,0.455898395,0.727292279,no
BW25113_4573,1069,no,insZ,pseudogene,0.007674067,no,6.55854358,0.98324848,1,no
BW25113_1241,1070,no,adhE,fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase,0.099329354,no,7.652707996,0.589047164,0.812749035,no
BW25113_1242,1071,no,ychE,UPF0056 family inner membrane protein,-0.354349412,no,6.749443057,0.138464545,0.382488812,no
BW25113_1243,1072,no,oppA,oligopeptide transporter subunit,0.129062887,no,7.372091481,0.502110493,0.75790263,no
BW25113_1244,1073,no,oppB,oligopeptide transporter subunit,0.114620555,no,7.026059923,0.606855764,0.826657393,no
BW25113_1245,1074,no,oppC,oligopeptide transporter subunit,1.202091322,yes,3.966892146,0.017994931,0.082988386,no
BW25113_1246,1075,no,oppD,oligopeptide transporter subunit,-0.107384865,no,4.403768005,0.84528076,0.945739209,no
BW25113_1247,1076,no,oppF,oligopeptide transporter subunit,0.679369764,no,4.539127519,0.179018993,0.446408685,no
BW25113_1249,1077,no,clsA,cardiolipin synthase 1,-0.015362583,no,6.705622945,0.955017421,0.990912729,no
BW25113_4595,1078,no,yciY,uncharacterized protein,-0.307175275,no,5.829190461,0.36435069,0.659093079,no
BW25113_1250,1079,no,kch,voltage-gated potassium channel,-0.092549124,no,6.760140809,0.734640104,0.897108633,no
BW25113_1251,1080,no,yciI,putative DGPF domain-containing enzyme,-0.30719053,no,6.043093025,0.451209659,0.725072815,no
BW25113_1253,1081,no,yciA,acyl-CoA esterase,-0.567095855,no,5.726591385,0.107790847,0.323042906,no
BW25113_1254,1082,no,yciB,IspA family inner membrane protein,0.359645772,no,5.214554235,0.39034747,0.678802142,no
BW25113_1255,1083,no,yciC,UPF0259 family inner membrane protein,-0.112700062,no,6.33059025,0.744629514,0.900680236,no
BW25113_1256,1084,no,ompW,outer membrane protein W,-0.163269585,no,7.778414348,0.343994548,0.639702241,no
BW25113_1258,1085,no,yciF,putative rubrerythrin/ferritin-like metal-binding protein,-1.233472986,yes,3.101753646,0.13575917,0.377697621,no
BW25113_1260,1086,no,trpA,"tryptophan synthase, alpha subunit",-0.167391238,no,5.603690944,0.753791098,0.904362043,no
BW25113_1261,1087,no,trpB,"tryptophan synthase, beta subunit",-1.009083599,yes,4.337680922,0.042343908,0.163213489,no
BW25113_1262,1088,no,trpC,fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase,0.685298237,no,5.658282226,0.080530308,0.266620613,no
BW25113_1263,1089,no,trpD,fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase,0.351036833,no,5.1315612,0.391963723,0.680167239,no
BW25113_1264,1090,no,trpE,component I of anthranilate synthase,0.250463033,no,5.787566322,0.479348261,0.741550736,no
BW25113_1266,1091,no,yciV,PHP domain protein,-0.407598462,no,5.892146566,0.233679157,0.516651041,no
BW25113_1267,1092,no,yciO,putative RNA binding protein,-0.498516503,no,5.1607209,0.319716437,0.615564064,no
BW25113_1268,1093,no,yciQ,enhancer of membrane protein expression; putative inner membrane protein,-0.024079946,no,8.59291683,0.893072365,0.964705994,no
BW25113_1269,1094,no,rluB,23S rRNA pseudouridine(2605) synthase,-0.029945037,no,6.213444358,0.956332371,0.990931647,no
BW25113_1270,1095,no,btuR,"cob(I)yrinic acid a,c-diamide adenosyltransferase",0.052673795,no,5.985591647,0.881440263,0.963631847,no
BW25113_1271,1096,no,yciK,putative EmrKY-TolC system oxoacyl-(acyl carrier protein) reductase,-0.776555446,no,5.559762856,0.052244454,0.191938389,no
BW25113_1272,1097,no,sohB,"inner membrane protein, S49 peptidase family protein",0.431664125,no,6.736523898,0.07548995,0.254884241,no
BW25113_1273,1098,no,yciN,DUF2498 protein YciN,-0.249519431,no,5.507452423,0.531516961,0.777732918,no
BW25113_4522,1099,no,ymiA,uncharacterized protein,0.807977206,no,3.951674776,0.118693612,0.344254166,no
BW25113_4523,1100,no,yciX,uncharacterized protein,0.265739958,no,6.098328174,0.39070991,0.678802142,no
BW25113_1276,1101,no,acnA,aconitate hydratase 1,-0.006573405,no,8.146273246,0.978568095,0.999532889,no
BW25113_1278,1102,no,pgpB,phosphatidylglycerophosphatase B,0.478861769,no,4.894454666,0.278589439,0.569385242,no
BW25113_1279,1103,no,yciS,"DUF1049 family inner membrane protein, function unknown",-0.425041045,no,2.980436507,0.635305374,0.845338277,no
BW25113_1281,1104,no,pyrF,orotidine-5'-phosphate decarboxylase,0.197717265,no,4.546094709,0.689599567,0.87568199,no
BW25113_1282,1105,no,yciH,"initiation factor function partial mimic, SUI1 family",-0.458084649,no,5.165779552,0.31302377,0.610312655,no
BW25113_1283,1106,no,osmB,lipoprotein,-0.0562093,no,7.841395108,0.748878337,0.903262487,no
BW25113_1284,1107,no,yciT,global regulator of transcription; DeoR family,-0.077558835,no,6.901796144,0.734557084,0.897108633,no
BW25113_4596,1108,no,yciZ,uncharacterized protein,-0.101011927,no,4.534013021,0.875777452,0.962986707,no
BW25113_1285,1109,no,gmr,cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability,-0.184467005,no,7.639898096,0.330339112,0.624664408,no
BW25113_1286,1110,no,rnb,ribonuclease II,0.819850327,no,5.094123276,0.050601648,0.188017498,no
BW25113_1287,1111,no,yciW,putative oxidoreductase,-0.419359566,no,6.971890866,0.066641968,0.231798148,no
BW25113_1289,1112,no,ycjD,DUF559 family endonuclease-related protein,0.213031276,no,5.187106117,0.695011711,0.879851743,no
BW25113_1290,1113,no,sapF,antimicrobial peptide transport ABC system ATP-binding protein,-0.145650027,no,5.394479407,0.74193583,0.89950051,no
BW25113_1291,1114,no,sapD,antimicrobial peptide transport ABC system ATP-binding protein,-0.987303435,no,5.212129278,0.033817122,0.138086583,no
BW25113_1292,1115,no,sapC,antimicrobial peptide transport ABC transporter permease,-0.365954551,no,6.41794185,0.24428538,0.531408819,no
BW25113_1293,1116,no,sapB,antimicrobial peptide transport ABC transporter permease,0.144022215,no,6.399584402,0.660626368,0.857684913,no
BW25113_1294,1117,no,sapA,antimicrobial peptide transport ABC transporter periplasmic binding protein,0.276717144,no,7.64407738,0.118174977,0.343145118,no
BW25113_1295,1118,no,ymjA,DUF2543 family protein,0.468114856,no,4.573532357,0.439026087,0.716447448,no
